grid_id,total_road_len
40300,35132.064523258414
40301,60908.71923737791
40302,6298.402147988072
40718,23208.785076644403
40719,101077.59146440924
40720,81035.92335108067
40721,67224.07691312872
40722,29781.695000498185
40723,4746.421324181043
41136,4200.698695669324
41137,39588.34937183758
41138,65495.23594352733
41139,76412.79624438753
41140,86890.50761294768
41141,75658.70656409014
41142,17647.82528564251
41143,10339.889032983985
41555,22783.491842267147
41556,27550.53242402117
41557,58454.831031555026
41558,67187.23497694446
41559,43629.901218550134
41560,26418.690880509246
41561,62764.82850175374
41562,101731.16430066862
41563,12835.012409730569
41564,28190.296658419
41566,71125.76929350596
41969,9628.94706955511
41970,3520.930653286932
41971,22720.656181707607
41972,44226.47868510248
41973,11684.543152134702
41975,14995.594996664204
41976,75378.903230662
41977,30430.818445949713
41978,44048.57110667099
41979,53462.64034084867
41980,52830.171587090445
41981,73053.81961726608
41982,52183.49347180542
41983,62707.07092676503
41984,81511.69410332388
41985,41370.53465764009
42388,20523.208683136065
42389,87133.71693603293
42390,90073.4263613753
42391,32769.59526214727
42392,63826.018907518875
42393,6348.654547946971
42394,62845.54058636822
42395,35489.188349722324
42396,79698.6412880614
42397,39299.88628883462
42398,76229.05088487017
42399,83318.69827316307
42400,73647.27737670395
42401,52842.19467488448
42402,48622.99667250638
42403,39498.67175367952
42404,7908.780722558099
42808,2134.7830470481904
42809,44766.46687716715
42810,70298.85349336098
42811,46123.190103485504
42812,14765.753217547897
42813,50148.01460274438
42814,40694.85317804287
42815,59551.9412142276
42816,71251.02503167318
42817,51563.99207097542
42818,71148.48969196425
42819,82698.32594338611
42820,91134.47662207235
42821,76939.13084301059
42822,54456.24290200406
42823,35315.76434101446
43227,22962.004258523633
43228,80171.56534240193
43229,74255.16654246804
43230,54729.79093088666
43231,67318.23016231497
43232,82838.20797736318
43233,33893.04202271539
43234,68729.13280662899
43235,4631.473368546978
43236,72747.53886528756
43237,97411.20932169004
43238,83483.47141075486
43239,42140.63964909987
43240,72908.80228664484
43241,39572.455087624505
43647,39161.270045493155
43648,62856.89854883538
43649,66008.5460864345
43650,85031.30855834941
43651,103255.25767886
43652,68755.2991274871
43653,77305.20197646423
43654,49808.910847896695
43655,78894.15532491228
43656,59087.90894744038
43657,99190.08670014305
43658,62076.37739911773
43659,81901.31109121154
43660,59044.128181656284
44066,13850.453901461453
44067,18110.679767307214
44068,46539.33600112506
44069,64017.59585392794
44070,61575.71366677818
44071,75090.98372389238
44072,116161.85955472318
44073,56623.22961487571
44074,64266.796141925835
44075,22398.2472497528
44076,59113.71445833379
44077,70971.78177513316
44078,66061.5731532299
44079,84492.66427640009
44484,85695.6601933775
44485,56067.63810579551
44486,58591.840929748156
44487,101182.74921579655
44488,80984.12744890948
44489,236492.49019805706
44490,271969.0409148486
44491,89032.62742448234
44492,90652.41534583321
44493,54904.9807433128
44494,67484.52540769296
44495,63704.526263625645
44496,171265.6625702498
44497,44077.264999863386
44498,57801.448786785084
44904,75883.31660085294
44905,67600.91699630067
44906,54526.91997972566
44907,40124.26225950192
44908,124989.68656148527
44909,210959.66557727673
44910,42440.7559444213
44911,90571.18463310554
44912,88949.90074043513
44913,35615.254769760504
44914,74153.5898712658
44915,68024.4652905505
44916,73771.51421013696
44917,45021.00314799199
45322,89490.3520484942
45323,76798.39067230663
45324,83290.54247523249
45325,52807.73049651465
45326,49735.53853327353
45327,51813.5070631044
45328,101280.26911139234
45329,96740.82987239295
45330,63411.36784115023
45331,41950.65204406564
45332,3088.248735158264
45333,34735.20782582102
45334,68610.62715937117
45335,36986.24706101864
45741,106755.6433861297
45742,148626.34723401623
45743,44638.110081148
45744,67835.5758413187
45745,71954.894553989
45746,40044.4315802377
45747,71121.70663672104
45748,63818.37522529227
45749,71359.75651802152
45750,48468.479119070704
45752,31316.271893061956
45753,38810.32418184872
45754,12555.970643800923
46162,63519.63097824432
46163,106896.04713643318
46164,19510.407773101706
46165,76592.05675065216
46166,55144.781475907876
46167,71680.64944095943
46168,41130.93334899911
46169,69401.36623657869
46170,56858.73671093032
46171,51717.98821225273
46584,78983.15810086858
46585,44476.45941714453
46586,31634.85555583789
46587,56487.95011748891
46588,52011.636415247056
46589,82889.39095519489
46590,92259.1054049204
46591,53894.105277478244
47004,73478.06177755805
47005,71484.70612080747
47006,59830.87054817128
47007,65064.234186272595
47008,78233.71709482804
47009,61310.067619209236
47426,30309.738816797304
45508,83704.54192556822
45509,29286.881267583612
45510,15117.575891424922
45927,54176.10933355858
45928,47269.668377998845
45929,46307.00346217254
45930,41352.78618510158
45931,24914.675561125638
45932,3217.218673132773
46346,59391.76511717583
46347,63991.349217940355
46348,72021.8008830801
46349,52835.459873652435
46350,70554.2312256974
46351,20594.38020094626
46765,68435.66129686206
46766,68331.62276814191
46767,68591.90158615526
46768,18970.769964122992
46769,45472.91915726419
46770,11412.09236064215
47183,105099.73579231756
47184,36650.7467465513
47185,32022.243388013834
47186,45804.066958836695
47187,126091.92459396437
47188,40352.99304289643
47189,39537.770438237574
47190,27953.816227094314
47603,37057.21655650289
47604,90894.75524584179
47605,45424.10422819459
47606,25536.061735521296
47607,62101.114932067496
47608,78705.01089424371
47609,14147.406192789715
47613,8548.067759379743
47614,2382.0520221491065
48023,48803.874877533446
48024,9507.90683843484
48026,4230.463298275201
48027,51587.75963385253
48028,48275.18782240068
48029,16248.563382634366
48032,28099.9472536619
48442,27911.748423504712
48443,52344.88333772926
48444,41718.45312747908
48447,29533.07781837085
48448,38114.6871109574
48449,8889.99827275161
48450,48107.96512089171
48451,14889.08601497506
48862,7479.6000491440545
48863,72253.04683239768
48864,13920.307264352508
48866,13257.100063370688
48867,41031.31686947404
48868,38100.31639399759
48869,60576.59417488741
48870,20528.32889226546
49284,8871.920163765297
49285,65135.490495848884
49286,32638.47173283605
49287,188278.82551875606
49288,76650.21190803936
49289,23792.952946744892
49703,2695.276188932118
49704,15849.156078820903
49705,21192.895577986572
49706,80819.20966249741
49707,71527.1580922666
49708,63043.04015977145
28976,19026.845436776664
29394,31228.760771068584
29395,109208.57341441765
29396,40514.95177863905
29807,2664.0936413836525
29811,2870.7877313346535
29812,42423.34892426056
29813,97109.42605959412
29814,74157.04052933955
29815,73935.19807616739
29816,74083.03335724687
29817,147172.78706096625
29818,160432.86336788817
30226,22648.96858557667
30227,9621.094023402491
30228,20334.864950520983
30230,88949.17791646032
30231,104592.81043160778
30232,68160.3771281992
30233,90390.28008876236
30234,72242.29086678305
30235,56631.63320006298
30236,78557.48538516376
30237,124599.71999529071
30238,82946.80803907095
30644,6968.033080941675
30645,42193.76755295163
30646,65884.90239740371
30647,30109.74940648421
30649,32972.11005933975
30650,72337.16609500557
30651,64156.811491358305
30652,88241.79831597737
30653,77059.1797657647
30654,19736.596128689434
30655,63654.68288499725
30656,76689.8153457279
30657,10230.248707128578
31064,47132.98244981512
31065,36714.85663008981
31066,55402.11085698826
31067,1270.0309315717993
31068,240772.06609900613
31069,112790.56761921567
31070,77231.11343162642
31071,54708.23493502526
31072,95886.05449854347
31073,78924.55344543615
31074,88633.4114317808
31075,94337.19566886134
31076,23862.632366032292
31483,14896.625397980159
31484,53945.78882893847
31485,25602.85746617609
31486,41680.20883786568
31487,198964.76969909034
31488,132638.1708489136
31489,58423.8238736077
31490,83670.95138024178
31491,112178.57244644308
31492,94296.05211340655
31493,33624.31499491611
31494,77531.00323184994
31495,12704.142537548065
31496,9171.501685828405
31902,39047.853159366045
31903,88126.16268983767
31904,64770.580139251746
31905,66011.67644058085
31906,105317.71498812131
31907,123621.20121783065
31908,68632.97086413433
31909,92894.08350686796
31910,132733.49057100152
31911,112432.67766882242
31912,84593.32028154223
31913,70829.73953806462
31914,83810.48397848986
31915,63613.225032401795
32321,68074.5672266268
32322,116727.20928895632
32323,142154.40800163156
32324,158246.25063008457
32325,195949.38787339273
32326,135679.533741098
32327,67037.27999690412
32328,48990.76660485009
32329,106077.67997301168
32330,76049.81070055472
32331,102570.04823114678
32332,75173.83388710671
32333,83884.9562334094
32334,71751.54333899362
32740,69685.90968921517
32741,94719.22185160493
32742,295300.85887353943
32743,216542.91464267156
32744,126407.6326806087
32745,81694.43035189164
32746,19916.732095845357
32747,10979.33490564105
32748,163680.3546978129
32749,116699.84105654023
32750,80103.67817277857
32751,66353.67244094338
32752,123119.13824010681
32753,73075.0393185881
32754,14773.304987974654
32755,38560.506328502976
33161,305366.00707741256
33162,338514.15969776176
33163,240310.02422310176
33164,48696.19047810911
33165,36967.987580723966
33166,26560.636753918574
